"DIVISÃO DO FABRICANTE";"SERVERIDADE DO FABRICANTE";"CATEGORIA DO FABRICANTE";"NOME DO EVENTO";"THRESHOLD";"IMPACTO";"AÇÃO RECOMENDADA";"ZABBIX TRIGGER";"FAMÍLIA DO EQUIPAMENTO";"AUTENTICAÇÃO INICIAL/RENOVAÇÃO";"POLÍTICA DE REDIRECIONAMENTO";"COMANDO CURL POSSÍVEL";"OBSERVAÇÕES PARA USO"
"Security";"Critical";"Certificate";"Certificate Expiring";"<30d";"Security risk";"Renew";"last(/host/cert.days)<30";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS -vI --connect-timeout 10 --max-time 30 --cacert ""$CA"" ""https://$HOST:443/""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. O detalhe do certificado aparece em stderr; para cálculo de dias, preferir item web.certificate do Zabbix ou OpenSSL."
"Security";"Critical";"Ransomware";"Ransomware Pattern";"auth deletes";"Cyber risk";"Escalate";"count(/host/auth.failed,5m)>50";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/alert/instances""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Somente usar se houver alerta nativo/licenciado correspondente; caso contrário, correlacionar no SIEM."
"Hardware";"Critical";"Cluster";"Cluster Down";">5m";"Outage";"Failover/repair";"last(/host/controller.status)=0";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/cluster/config""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Validar $PS_API primeiro com GET /platform/latest; os nomes e campos podem variar conforme o OneFS."
"Hardware";"Degraded (cluster)";"Controller";"Controller Down";">5m";"Outage";"Failover/repair";"last(/host/controller.status)=0";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/cluster/nodes/$NODE_ID/status""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Executar para cada $NODE_ID retornado por /platform/$PS_API/cluster/nodes."
"Hardware";"Critical";"Disk";"Multiple Disk Failure";"1 failed";"Data risk";"Replace disk";"last(/host/disks.failed)>1";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/cluster/nodes/$NODE_ID/drives""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Executar para cada $NODE_ID retornado por /platform/$PS_API/cluster/nodes."
"Hardware";"Critical";"PSU";"Power Supply Failure";"Any";"Redundancy loss";"Replace PSU";"last(/host/psu.status)=0";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/cluster/nodes/$NODE_ID/powersupplies""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Executar para cada $NODE_ID retornado por /platform/$PS_API/cluster/nodes."
"Hardware";"Degraded";"Fan";"Fan Failure";"Any";"Cooling reduced";"Replace fan";"last(/host/fan.status)=0";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/cluster/nodes/$NODE_ID/sensors""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Executar para cada $NODE_ID retornado por /platform/$PS_API/cluster/nodes. Confirmar quais sensores representam fans."
"Hardware";"Major";"Temperature";"High Temp";">40C";"Stress";"Check cooling";"avg(/host/temp,10m)>40";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/cluster/nodes/$NODE_ID/sensors""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Executar para cada $NODE_ID retornado por /platform/$PS_API/cluster/nodes. Confirmar unidade e limite informado pelo equipamento."
"Performance";"Major";"Latency";"SMB latency";">20 ms";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/statistics/current?keys=$STAT_KEY""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Substituir $STAT_KEY por uma key encontrada em /platform/$PS_API/statistics/keys e confirmar unidade e escopo."
"Performance";"Major";"Latency";"NFS latency";">20 ms";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/statistics/current?keys=$STAT_KEY""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Substituir $STAT_KEY por uma key encontrada em /platform/$PS_API/statistics/keys e confirmar unidade e escopo."
"Performance";"Major";"Latency";"NFS retransmissions";">1% of calls";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/statistics/current?keys=$STAT_KEY""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Substituir $STAT_KEY por uma key encontrada em /platform/$PS_API/statistics/keys e confirmar unidade e escopo. Se não houver key no array, coletar do cliente NFS."
"Performance";"Major";"Latency";"CPU utilization";">80%";"Slow apps";"Tune workload";"avg(/host/cpu,15m)>80";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/statistics/current?keys=$STAT_KEY""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Substituir $STAT_KEY por uma key encontrada em /platform/$PS_API/statistics/keys e confirmar unidade e escopo."
"Performance";"Major";"Latency";"Storage utilization";">85%";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/statistics/current?keys=$STAT_KEY""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Substituir $STAT_KEY por uma key encontrada em /platform/$PS_API/statistics/keys e confirmar unidade e escopo."
"Performance";"Major";"Latency";"Network utilization";">80% link capacity";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/statistics/current?keys=$STAT_KEY""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Substituir $STAT_KEY por uma key encontrada em /platform/$PS_API/statistics/keys e confirmar unidade e escopo."
"Performance";"Major";"Latency";"Packet loss";">0.1%";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/statistics/current?keys=$STAT_KEY""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Substituir $STAT_KEY por uma key encontrada em /platform/$PS_API/statistics/keys e confirmar unidade e escopo. Preferir contadores de erros, descartes e pacotes para calcular a taxa."
"Capacity";"Critical";"CPU";"Controller CPU";">95%";"Service impact";"Investigate";"avg(/host/cpu,15m)>95";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/statistics/current?keys=$STAT_KEY""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Substituir $STAT_KEY por uma key encontrada em /platform/$PS_API/statistics/keys e confirmar unidade e escopo. No PowerScale, tratar como CPU por nó, não por controladora."
"Capacity";"Major";"Volume";"Volume Usage";">80%";"Growth risk";"Plan capacity";"last(/host/volume.used)>80";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/cluster/statfs""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. PowerScale não possui volume de bloco genérico; usar filesystem, quota ou node pool conforme o objeto monitorado."
"Capacity";"Major";"Pool";"Pool Usage";">90%";"Capacity risk";"Expand pool";"last(/host/pool.used)>90";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/storagepool/nodepools""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Validar $PS_API primeiro com GET /platform/latest; os nomes e campos podem variar conforme o OneFS."
"Capacity";"Critical";"Pool";"Pool Full";">95%";"Service impact";"Emergency expansion";"last(/host/pool.used)>95";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/storagepool/nodepools""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Calcular percentual usando total e disponível do mesmo node pool."
"Replication";"Critical";"DR";"Replication Failed";">15m";"DR unavailable";"Restore";"last(/host/repl.status)=0";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/sync/reports""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Correlacionar report com /sync/policies e guardar ID, estado, erro e último sucesso."
"Replication";"Major";"Lag";"Replication Lag";">1h";"Recovery risk";"Investigate";"last(/host/repl.lag)>3600";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/sync/reports""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Validar timestamps/backlog disponíveis na versão; não inferir lag apenas do status."
